SK  ASC ASCQ    Description
3   57  00      UNABLE TO RECOVER TABLE-OF-CONTENTS
6   5A  00      OPERATOR REQUEST OR STATE CHANGE INPUT
6   5A  01      OPERATOR MEDIUM REMOVAL REQUEST
6   5A  02      OPERATOR SELECTED WRITE PROTECT
6   5A  03      OPERATOR SELECTED WRITE PERMIT
6   5B  00      LOG EXCEPTION
6   5B  01      THRESHOLD CONDITION MET
6   5B  02      LOG COUNTER AT MAXIMUM
6   5B  03      LOG LIST CODES EXHAUSTED
1   5D  00      FAILURE PREDICTION THRESHOLD EXCEEDED
1   5D  01      MEDIA FAILURE PREDICTION THRESHOLD EXCEEDED
1   5D  02      LOGICAL UNIT FAILURE PREDICTION THRESHOLD EXCEEDED
1   5D  03      SPARE AREA EXHAUSTION FAILURE PREDICTION THRESHOLD EXCEEDED
1   5D  FF      FAILURE PREDICTION THRESHOLD EXCEEDED (FALSE)
6   5E  00      LOW POWER CONDITION ON
6   5E  01      IDLE CONDITION ACTIVATED BY TIMER
6   5E  02      STANDBY CONDITION ACTIVATED BY TIMER
6   5E  03      IDLE CONDITION ACTIVATED BY COMMAND
6   5E  04      STANDBY CONDITION ACTIVATED BY COMMAND
5   63  00      END OF USER AREA ENCOUNTERED ON THIS TRACK
5   63  01      PACKET DOES NOT FIT IN AVAILABLE SPACE
5   64  00      ILLEGAL MODE FOR THIS TRACK
5   64  01      INVALID PACKET SIZE
4   65  00      VOLTAGE FAULT
5   6F  00      COPY PROTECTION KEY EXCHANGE FAILURE - AUTHENTICATION FAILURE
5   6F  01      COPY PROTECTION KEY EXCHANGE FAILURE - KEY NOT PRESENT
5   6F  02      COPY PROTECTION KEY EXCHANGE FAILURE - KEY NOT ESTABLISHED
5   6F  03      READ OF SCRAMBLED SECTOR WITHOUT AUTHENTICATION
5   6F  04      MEDIA REGION CODE IS MISMATCHED TO LOGICAL UNIT REGION
5   6F  05      LOGICAL UNIT REGION MUST BE PERMANENT/REGION RESET COUNT ERROR
5   6F  06      INSUFFICIENT BLOCK COUNT FOR BINDING NONCE RECORDING
5   6F  07      CONFLICT IN BINDING NONCE RECORDING
3   72  00      SESSION FIXATION ERROR
3   72  01      SESSION FIXATION ERROR WRITING LEAD-IN
3   72  02      SESSION FIXATION ERROR WRITING LEAD-OUT
5   72  03      SESSION FIXATION ERROR - INCOMPLETE TRACK IN SESSION
5   72  04      EMPTY OR PARTIALLY WRITTEN RESERVED TRACK
5   72  05      NO MORE TRACK RESERVATIONS ALLOWED
5   72  06      RMZ EXTENSION IS NOT ALLOWED
5   72  07      NO MORE TEST ZONE EXTENSIONS ARE ALLOWED
3   73  00      CD CONTROL ERROR
1   73  01      POWER CALIBRATION AREA ALMOST FULL
3   73  02      POWER CALIBRATION AREA IS FULL
3   73  03      POWER CALIBRATION AREA ERROR
3   73  04      PROGRAM MEMORY AREA UPDATE FAILURE
3   73  05      PROGRAM MEMORY AREA IS FULL
1   73  06      RMA/PMA IS ALMOST FULL
3   73  10      CURRENT POWER CALIBRATION AREA IS ALMOST FULL
3   73  11      CURRENT POWER CALIBRATION AREA IS FULL
5   73  17      RDZ IS FULL
8   --  --      BLANK CHECK
